Generating Solution for Advent of Code 2020 - Day 4 / Part 2
Reading input file data/day4-input.txt to solve Day 4 Part 2
Passport 1, ecl:, grt, Invalid
Passport 135, byr:, 1962, Valid
Passport 136, byr:, 1975, Valid
Passport 136, hgt:, 177cm, Valid
Passport 136, pid:, 290098810, Valid
Passport 136, ecl:, oth, Valid
Passport 136, eyr:, 2021, Valid
Passport 136, hcl:, #a5fc9f, Valid
Passport 136, iyr:, 2013, Valid
Passport 137, ecl:, amb, Valid
Passport 137, pid:, 762351259, Valid
Passport 137, eyr:, 2028, Valid
Passport 137, hcl:, #d07b27, Valid
Passport 137, byr:, 1947, Valid
Passport 137, iyr:, 2017, Valid
Passport 137, hgt:, 178cm, Valid
Passport 138, ecl:, grn, Valid
Passport 138, pid:, 053790533, Valid
Passport 138, eyr:, 2023, Valid
Passport 138, hcl:, #623a2f, Valid
Passport 138, byr:, 1939, Valid
Passport 138, iyr:, 2012, Valid
Passport 138, hgt:, 189cm, Valid
Passport 139, pid:, 891312170, Valid
Passport 139, hcl:, #c0946f, Valid
Passport 139, byr:, 1986, Valid
Passport 139, iyr:, 2012, Valid
Passport 139, eyr:, 2023, Valid
Passport 139, hgt:, 163cm, Valid
Passport 140, iyr:, 2015, Valid
Passport 140, byr:, 1963, Valid
Passport 140, ecl:, brn, Valid
Passport 140, pid:, 695024197, Valid
Passport 140, eyr:, 2022, Valid
Passport 140, hcl:, #efcc98, Valid
Passport 140, hgt:, 166cm, Valid
Passport 141, eyr:, 1945, Invalid
Passport 142, pid:, 956296646, Valid
Passport 142, iyr:, 2015, Valid
Passport 142, hgt:, 168cm, Valid
Passport 142, ecl:, gry, Valid
Passport 142, eyr:, 2029, Valid
Passport 142, hcl:, #866857, Valid
Passport 142, byr:, 1979, Valid
Passport 143, pid:, 745452488, Valid
Passport 143, eyr:, 2025, Valid
Passport 143, hcl:, #602927, Valid
Passport 143, byr:, 1998, Valid
Passport 143, iyr:, 2015, Valid
Passport 143, hgt:, 158cm, Valid
Passport 144, eyr:, 2027, Valid
Passport 144, iyr:, 2017, Valid
Passport 144, ecl:, hzl, Valid
Passport 144, pid:, 6173634679, Valid
Passport 144, byr:, 2001, Valid
Passport 144, hcl:, babc41, Invalid
Passport 145, ecl:, grn, Valid
Passport 145, iyr:, 2019, Valid
Passport 145, eyr:, 2023, Valid
Passport 145, hcl:, #3881ca, Valid
Passport 145, byr:, 1975, Valid
Passport 145, hgt:, 162cm, Valid
Passport 146, pid:, 398759957, Valid
Passport 146, hcl:, #ceb3a1, Valid
Passport 146, hgt:, 169in, Invalid
Passport 147, hgt:, 156cm, Valid
Passport 147, pid:, 166cm, Invalid
Passport 148, ecl:, gry, Valid
Passport 148, pid:, 295161300, Valid
Passport 148, eyr:, 2026, Valid
Passport 148, hcl:, #746f08, Valid
Passport 148, byr:, 1950, Valid
Passport 148, hgt:, 160cm, Valid
Passport 148, iyr:, 2017, Valid
Passport 149, iyr:, 2010, Valid
Passport 149, eyr:, 2024, Valid
Passport 149, hcl:, #866857, Valid
Passport 149, pid:, 178927953, Valid
Passport 149, byr:, 1948, Valid
Passport 149, hgt:, 166cm, Valid
Passport 149, ecl:, blu, Valid
Passport 150, eyr:, 2025, Valid
Passport 150, hgt:, 161cm, Valid
Passport 150, byr:, 1920, Valid
Passport 150, ecl:, gry, Valid
Passport 150, iyr:, 2020, Valid
Passport 150, pid:, 443548961, Valid
Passport 150, hcl:, #7d3b0c, Valid
Passport 151, iyr:, 2019, Valid
Passport 151, pid:, 320015839, Valid
Passport 151, eyr:, 2029, Valid
Passport 151, ecl:, oth, Valid
Passport 151, hcl:, #fffffd, Valid
Passport 151, byr:, 1953, Valid
Passport 151, hgt:, 182cm, Valid
Passport 152, pid:, 174cm, Invalid
Passport 153, pid:, 798153758, Valid
Passport 153, byr:, 1982, Valid
Passport 153, ecl:, brn, Valid
Passport 153, eyr:, 2023, Valid
Passport 153, hcl:, #341e13, Valid
Passport 153, hgt:, 161cm, Valid
Passport 153, iyr:, 2014, Valid
Passport 154, byr:, 1938, Valid
Passport 154, ecl:, amb, Valid
Passport 154, pid:, 193cm, Invalid
Passport 155, pid:, 711886098, Valid
Passport 155, byr:, 1962, Valid
Passport 155, ecl:, grn, Valid
Passport 155, eyr:, 2028, Valid
Passport 155, hgt:, 151cm, Valid
Passport 155, hcl:, #cfa07d, Valid
Passport 155, iyr:, 2019, Valid
Passport 156, eyr:, 2028, Valid
Passport 156, iyr:, 2011, Valid
Passport 156, ecl:, gry, Valid
Passport 156, pid:, 550207629, Valid
Passport 156, hgt:, 183cm, Valid
Passport 156, hcl:, #888785, Valid
Passport 156, byr:, 1920, Valid
Passport 157, ecl:, utc, Invalid
Passport 158, iyr:, 2010, Valid
Passport 158, ecl:, gmt, Invalid
Passport 159, ecl:, lzr, Invalid
Passport 160, hcl:, #602927, Valid
Passport 160, ecl:, oth, Valid
Passport 160, pid:, 780342729, Valid
Passport 160, iyr:, 2015, Valid
Passport 160, hgt:, 151cm, Valid
Passport 161, hcl:, #fffffd, Valid
Passport 161, byr:, 2027, Valid
Passport 161, pid:, 5609758115, Valid
Passport 161, eyr:, 2037, Invalid
Passport 162, ecl:, gmt, Invalid
Passport 163, ecl:, utc, Invalid
Passport 164, ecl:, grn, Valid
Passport 164, hcl:, #c0946f, Valid
Passport 164, byr:, 1955, Valid
Passport 164, pid:, 746303487, Valid
Passport 164, eyr:, 2027, Valid
Passport 164, iyr:, 2017, Valid
Passport 164, hgt:, 72in, Valid
Passport 165, pid:, 489225602, Valid
Passport 165, ecl:, gry, Valid
Passport 165, byr:, 1982, Valid
Passport 165, iyr:, 2018, Valid
Passport 165, hgt:, 65in, Valid
Passport 165, eyr:, 2025, Valid
Passport 166, pid:, 663798116, Valid
Passport 166, hcl:, #ceb3a1, Valid
Passport 166, byr:, 1937, Valid
Passport 166, iyr:, 2010, Valid
Passport 166, ecl:, hzl, Valid
Passport 166, hgt:, 167cm, Valid
Passport 167, pid:, 329032527, Valid
Passport 167, hcl:, #ceb3a1, Valid
Passport 167, ecl:, gry, Valid
Passport 167, iyr:, 2014, Valid
Passport 167, hgt:, 169cm, Valid
Passport 167, byr:, 1932, Valid
Passport 168, hcl:, #545d0c, Valid
Passport 168, ecl:, brn, Valid
Passport 168, iyr:, 2023, Invalid
Passport 169, pid:, 625851706, Valid
Passport 169, eyr:, 2029, Valid
Passport 169, hcl:, #733820, Valid
Passport 169, byr:, 1937, Valid
Passport 169, iyr:, 1943, Invalid
Passport 170, pid:, 73586582, Invalid
Passport 171, iyr:, 2010, Valid
Passport 171, pid:, 162901454, Valid
Passport 171, eyr:, 2023, Valid
Passport 171, ecl:, gry, Valid
Passport 171, hcl:, #733820, Valid
Passport 171, byr:, 1958, Valid
Passport 171, hgt:, 159cm, Valid
Passport 172, byr:, 2007, Valid
Passport 172, hcl:, #cfa07d, Valid
Passport 172, ecl:, hzl, Valid
Passport 172, pid:, 148538600, Valid
Passport 172, iyr:, 2021, Invalid
Passport 173, ecl:, #24adc8, Invalid
Passport 174, ecl:, amb, Valid
Passport 174, hcl:, #efcc98, Valid
Passport 174, byr:, 1940, Valid
Passport 174, iyr:, 2012, Valid
Passport 174, pid:, 594237790, Valid
Passport 174, eyr:, 2029, Valid
Passport 174, hgt:, 173cm, Valid
Passport 175, eyr:, 2026, Valid
Passport 175, hcl:, #733820, Valid
Passport 175, byr:, 1941, Valid
Passport 175, hgt:, 178cm, Valid
Passport 175, ecl:, brn, Valid
Passport 175, pid:, 425263722, Valid
Passport 175, iyr:, 2013, Valid
Passport 176, ecl:, amb, Valid
Passport 176, pid:, 188113611, Valid
Passport 176, eyr:, 2025, Valid
Passport 176, hcl:, #341e13, Valid
Passport 176, byr:, 1998, Valid
Passport 176, iyr:, 2014, Valid
Passport 177, byr:, 1950, Valid
Passport 177, iyr:, 2017, Valid
Passport 177, hgt:, 74in, Valid
Passport 177, pid:, 897969952, Valid
Passport 177, ecl:, hzl, Valid
Passport 177, eyr:, 2022, Valid
Passport 177, hcl:, #0a18bb, Valid
Passport 178, eyr:, 2022, Valid
Passport 178, ecl:, grn, Valid
Passport 178, iyr:, 2015, Valid
Passport 178, pid:, 201629099, Valid
Passport 178, hcl:, #7fd789, Valid
Passport 178, byr:, 1956, Valid
Passport 178, hgt:, 179cm, Valid
Passport 179, eyr:, 2024, Valid
Passport 179, ecl:, hzl, Valid
Passport 179, pid:, 483257417, Valid
Passport 179, iyr:, 2010, Valid
Passport 179, hgt:, 159cm, Valid
Passport 179, hcl:, z, Invalid
Passport 180, ecl:, amb, Valid
Passport 180, pid:, 916586207, Valid
Passport 180, eyr:, 2022, Valid
Passport 180, hcl:, #602927, Valid
Passport 180, byr:, 1923, Valid
Passport 180, iyr:, 2011, Valid
Passport 180, hgt:, 191cm, Valid
Passport 181, pid:, 175608183, Valid
Passport 181, hcl:, #fffffd, Valid
Passport 181, byr:, 1993, Valid
Passport 181, iyr:, 2017, Valid
Passport 181, hgt:, 190cm, Valid
Passport 181, ecl:, blu, Valid
Passport 182, eyr:, 2029, Valid
Passport 182, hgt:, 173cm, Valid
Passport 182, ecl:, brn, Valid
Passport 182, pid:, 669662258, Valid
Passport 182, hcl:, #888785, Valid
Passport 182, byr:, 1997, Valid
Passport 182, iyr:, 2015, Valid
Passport 183, hcl:, d899cf, Invalid
Passport 184, ecl:, hzl, Valid
Passport 184, eyr:, 2023, Valid
Passport 184, hcl:, #602927, Valid
Passport 184, iyr:, 2015, Valid
Passport 184, pid:, 82885029, Invalid
Passport 185, byr:, 1962, Valid
Passport 185, hgt:, 167in, Invalid
Passport 186, pid:, 358771245, Valid
Passport 186, eyr:, 2020, Valid
Passport 186, hgt:, 180cm, Valid
Passport 186, ecl:, grn, Valid
Passport 186, hcl:, #efcc98, Valid
Passport 186, iyr:, 2018, Valid
Passport 186, byr:, 1979, Valid
Passport 187, ecl:, gry, Valid
Passport 187, pid:, 424388351, Valid
Passport 187, hcl:, #c0946f, Valid
Passport 187, byr:, 1988, Valid
Passport 187, iyr:, 2010, Valid
Passport 187, hgt:, 166cm, Valid
Passport 187, eyr:, 2027, Valid
Passport 188, ecl:, gry, Valid
Passport 188, hcl:, #a97842, Valid
Passport 188, hgt:, 189cm, Valid
Passport 188, pid:, 743213778, Valid
Passport 188, byr:, 1959, Valid
Passport 188, iyr:, 2015, Valid
Passport 189, byr:, 2021, Valid
Passport 189, iyr:, 2021, Invalid
Passport 190, eyr:, 2021, Valid
Passport 190, iyr:, 2017, Valid
Passport 190, ecl:, hzl, Valid
Passport 190, pid:, 560394910, Valid
Passport 190, hcl:, #ceb3a1, Valid
Passport 190, hgt:, 164cm, Valid
Passport 190, byr:, 1955, Valid
Passport 191, iyr:, 2018, Valid
Passport 191, hcl:, #27f7e6, Valid
Passport 191, hgt:, 160cm, Valid
Passport 191, pid:, 033692111, Valid
Passport 191, eyr:, 2029, Valid
Passport 191, ecl:, amb, Valid
Passport 191, byr:, 1920, Valid
Passport 192, ecl:, blu, Valid
Passport 192, pid:, 858060501, Valid
Passport 192, eyr:, 2028, Valid
Passport 192, hcl:, #733820, Valid
Passport 192, byr:, 1974, Valid
Passport 192, iyr:, 2010, Valid
Passport 192, hgt:, 160cm, Valid
Passport 193, pid:, 818700605, Valid
Passport 193, eyr:, 2024, Valid
Passport 193, byr:, 1961, Valid
Passport 193, hcl:, #866857, Valid
Passport 193, hgt:, 188cm, Valid
Passport 193, ecl:, gry, Valid
Passport 194, eyr:, 2029, Valid
Passport 194, iyr:, 2017, Valid
Passport 194, hgt:, 180cm, Valid
Passport 194, ecl:, hzl, Valid
Passport 194, byr:, 1951, Valid
Passport 194, hcl:, #888785, Valid
Passport 195, eyr:, 2027, Valid
Passport 195, byr:, 1986, Valid
Passport 195, ecl:, blu, Valid
Passport 195, pid:, 076339632, Valid
Passport 195, iyr:, 2010, Valid
Passport 195, hcl:, #341e13, Valid
Passport 195, hgt:, 167cm, Valid
Passport 196, eyr:, 2023, Valid
Passport 196, iyr:, 1990, Invalid
Passport 197, ecl:, dne, Invalid
Passport 198, eyr:, 2024, Valid
Passport 198, iyr:, 2010, Valid
Passport 198, pid:, 154cm, Invalid
Passport 199, ecl:, oth, Valid
Passport 199, pid:, 600685520, Valid
Passport 199, eyr:, 2026, Valid
Passport 199, hcl:, #ceb3a1, Valid
Passport 199, byr:, 1967, Valid
Passport 199, iyr:, 2014, Valid
Passport 199, hgt:, 179cm, Valid
Passport 200, hcl:, #ceb3a1, Valid
Passport 200, pid:, 789956738, Valid
Passport 200, ecl:, amb, Valid
Passport 200, eyr:, 2021, Valid
Passport 200, byr:, 1938, Valid
Passport 200, iyr:, 2011, Valid
Passport 200, hgt:, 171cm, Valid
Passport 201, eyr:, 2025, Valid
Passport 201, hcl:, #613f4b, Valid
Passport 201, hgt:, 151cm, Valid
Passport 201, ecl:, amb, Valid
Passport 201, pid:, 493339889, Valid
Passport 201, byr:, 1985, Valid
Passport 201, iyr:, 2013, Valid
Passport 202, pid:, 36823553, Invalid
Passport 203, pid:, 529274811, Valid
Passport 203, ecl:, blu, Valid
Passport 203, eyr:, 2023, Valid
Passport 203, hcl:, #341e13, Valid
Passport 203, iyr:, 2012, Valid
Passport 203, hgt:, 103, Invalid
Passport 204, ecl:, xry, Invalid
Passport 205, pid:, 359823289, Valid
Passport 205, hcl:, #c0946f, Valid
Passport 205, byr:, 1978, Valid
Passport 205, hgt:, 181cm, Valid
Passport 205, eyr:, 2022, Valid
Passport 205, ecl:, hzl, Valid
Passport 205, iyr:, 2011, Valid
Passport 206, pid:, 029400877, Valid
Passport 206, eyr:, 2026, Valid
Passport 206, ecl:, gry, Valid
Passport 206, hcl:, #cfa07d, Valid
Passport 206, byr:, 1983, Valid
Passport 206, iyr:, 2015, Valid
Passport 207, eyr:, 2021, Valid
Passport 207, hcl:, #ceb3a1, Valid
Passport 207, hgt:, 190cm, Valid
Passport 207, ecl:, amb, Valid
Passport 207, iyr:, 2017, Valid
Passport 207, pid:, 411804678, Valid
Passport 207, byr:, 1950, Valid
Passport 208, ecl:, blu, Valid
Passport 208, pid:, 103821113, Valid
Passport 208, eyr:, 2026, Valid
Passport 208, hcl:, #c0946f, Valid
Passport 208, byr:, 1926, Valid
Passport 208, iyr:, 2017, Valid
Passport 208, hgt:, 152cm, Valid
Passport 209, byr:, 1955, Valid
Passport 209, eyr:, 2022, Valid
Passport 209, hcl:, #733820, Valid
Passport 209, iyr:, 2010, Valid
Passport 209, hgt:, 169cm, Valid
Passport 209, ecl:, gry, Valid
Passport 209, pid:, 208715596, Valid
Passport 210, ecl:, blu, Valid
Passport 210, pid:, 352807405, Valid
Passport 210, hcl:, #b1214c, Valid
Passport 210, byr:, 1929, Valid
Passport 210, iyr:, 2012, Valid
Passport 210, hgt:, 165cm, Valid
Passport 210, eyr:, 2020, Valid
Passport 211, hcl:, #cfa07d, Valid
Passport 211, byr:, 1987, Valid
Passport 211, hgt:, 151cm, Valid
Passport 211, eyr:, 2024, Valid
Passport 211, pid:, 884441477, Valid
Passport 212, pid:, #dade9c, Invalid
Passport 213, pid:, 644561358, Valid
Passport 213, ecl:, blu, Valid
Passport 213, byr:, 1997, Valid
Passport 213, iyr:, 2013, Valid
Passport 213, hgt:, 164cm, Valid
Passport 213, eyr:, 2023, Valid
Passport 213, hcl:, #108f16, Valid
Passport 214, ecl:, oth, Valid
Passport 214, pid:, 877258886, Valid
Passport 214, hcl:, #18171d, Valid
Passport 214, byr:, 1949, Valid
Passport 214, iyr:, 2019, Valid
Passport 214, hgt:, 66in, Valid
Passport 214, eyr:, 2027, Valid
Passport 215, ecl:, xry, Invalid
Passport 216, eyr:, 1959, Invalid
Passport 217, ecl:, gmt, Invalid
Passport 218, eyr:, 1938, Invalid
Passport 219, pid:, 110887179, Valid
Passport 219, eyr:, 2027, Valid
Passport 219, iyr:, 2014, Valid
Passport 219, ecl:, brn, Valid
Passport 219, hcl:, #a97842, Valid
Passport 219, hgt:, 66in, Valid
Passport 219, byr:, 1954, Valid
Passport 220, ecl:, grn, Valid
Passport 220, pid:, 498972747, Valid
Passport 220, eyr:, 2024, Valid
Passport 220, hcl:, #341e13, Valid
Passport 220, byr:, 1932, Valid
Passport 220, iyr:, 2011, Valid
Passport 220, hgt:, 186cm, Valid
Passport 221, pid:, 866696485, Valid
Passport 221, eyr:, 2028, Valid
Passport 221, hcl:, #6b5442, Valid
Passport 221, iyr:, 2018, Valid
Passport 221, ecl:, gry, Valid
Passport 221, hgt:, 178cm, Valid
Passport 222, pid:, 598961001, Valid
Passport 222, eyr:, 2024, Valid
Passport 222, iyr:, 2019, Valid
Passport 222, ecl:, grn, Valid
Passport 222, byr:, 1963, Valid
Passport 222, hcl:, #c0946f, Valid
Passport 223, ecl:, blu, Valid
Passport 223, pid:, 295056305, Valid
Passport 223, eyr:, 2024, Valid
Passport 223, byr:, 1926, Valid
Passport 223, hgt:, 172cm, Valid
Passport 223, hcl:, #341e13, Valid
Passport 223, iyr:, 2017, Valid
Passport 224, hcl:, #6b5442, Valid
Passport 224, byr:, 2001, Valid
Passport 224, hgt:, 164cm, Valid
Passport 224, ecl:, grn, Valid
Passport 224, pid:, 862982189, Valid
Passport 224, eyr:, 2030, Valid
Passport 224, iyr:, 2019, Valid
Passport 225, ecl:, hzl, Valid
Passport 225, eyr:, 2014, Invalid
Passport 226, hcl:, #888785, Valid
Passport 226, pid:, 409489862, Valid
Passport 226, ecl:, gry, Valid
Passport 226, byr:, 1985, Valid
Passport 226, iyr:, 2011, Valid
Passport 226, hgt:, 186cm, Valid
Passport 226, eyr:, 2028, Valid
Passport 227, pid:, 6849250876, Valid
Passport 227, hcl:, z, Invalid
Passport 228, ecl:, hzl, Valid
Passport 228, pid:, 189083891, Valid
Passport 228, eyr:, 2026, Valid
Passport 228, hcl:, #623a2f, Valid
Passport 228, byr:, 1983, Valid
Passport 228, iyr:, 2013, Valid
Passport 228, hgt:, 66in, Valid
Passport 229, pid:, 581546673, Valid
Passport 229, eyr:, 2030, Valid
Passport 229, hcl:, #18171d, Valid
Passport 229, byr:, 1945, Valid
Passport 229, hgt:, 191cm, Valid
Passport 229, iyr:, 2015, Valid
Passport 229, ecl:, amb, Valid
Passport 230, ecl:, hzl, Valid
Passport 230, hgt:, 158cm, Valid
Passport 230, eyr:, 2023, Valid
Passport 230, hcl:, #7ac7ad, Valid
Passport 230, byr:, 1996, Valid
Passport 230, pid:, 666748924, Valid
Passport 230, iyr:, 2020, Valid
Passport 231, ecl:, grn, Valid
Passport 231, pid:, 406602771, Valid
Passport 231, eyr:, 2028, Valid
Passport 231, hcl:, #fffffd, Valid
Passport 231, byr:, 1959, Valid
Passport 231, iyr:, 2013, Valid
Passport 231, hgt:, 172cm, Valid
Passport 232, hcl:, eaaf60, Invalid
Passport 233, eyr:, 2035, Invalid
Passport 234, ecl:, amb, Valid
Passport 234, pid:, #4bb0a8, Invalid
Passport 235, ecl:, oth, Valid
Passport 235, eyr:, 2012, Invalid
Passport 236, ecl:, blu, Valid
Passport 236, pid:, 833821322, Valid
Passport 236, eyr:, 2020, Valid
Passport 236, hcl:, #623a2f, Valid
Passport 236, byr:, 1944, Valid
Passport 236, iyr:, 2020, Valid
Passport 236, hgt:, 169cm, Valid
Passport 237, ecl:, oth, Valid
Passport 237, eyr:, 2022, Valid
Passport 237, byr:, 1962, Valid
Passport 237, hgt:, 60in, Valid
Passport 237, iyr:, 2019, Valid
Passport 237, pid:, 281039464, Valid
Passport 237, hcl:, #733820, Valid
Passport 238, ecl:, hzl, Valid
Passport 238, pid:, 771871096, Valid
Passport 238, hcl:, #7d3b0c, Valid
Passport 238, hgt:, 191cm, Valid
Passport 238, eyr:, 2027, Valid
Passport 238, iyr:, 2012, Valid
Passport 238, byr:, 2025, Valid
Passport 239, eyr:, 2032, Invalid
Passport 240, pid:, 784128823, Valid
Passport 240, hcl:, #733820, Valid
Passport 240, iyr:, 2010, Valid
Passport 240, hgt:, 169cm, Valid
Passport 240, ecl:, grn, Valid
Passport 240, byr:, 1962, Valid
Passport 241, eyr:, 2022, Valid
Passport 241, ecl:, #fa1ba7, Invalid
Passport 242, ecl:, brn, Valid
Passport 242, pid:, 507697987, Valid
Passport 242, eyr:, 2023, Valid
Passport 242, hcl:, #326596, Valid
Passport 242, byr:, 1958, Valid
Passport 242, iyr:, 2013, Valid
Passport 242, hgt:, 193cm, Valid
Passport 243, ecl:, grn, Valid
Passport 243, pid:, 399623583, Valid
Passport 243, eyr:, 2025, Valid
Passport 243, hcl:, #b6652a, Valid
Passport 243, byr:, 2002, Valid
Passport 243, iyr:, 2011, Valid
Passport 243, hgt:, 192cm, Valid
Passport 244, ecl:, brn, Valid
Passport 244, pid:, 089068603, Valid
Passport 244, eyr:, 2023, Valid
Passport 244, hcl:, #602927, Valid
Passport 244, hgt:, 189cm, Valid
Passport 244, byr:, 1953, Valid
Passport 244, iyr:, 2018, Valid
Passport 245, hcl:, f1bf94, Invalid
Passport 246, ecl:, gry, Valid
Passport 246, iyr:, 2015, Valid
Passport 246, hgt:, 154cm, Valid
Passport 246, pid:, 718845487, Valid
Passport 246, eyr:, 2024, Valid
Passport 246, byr:, 1999, Valid
Passport 246, hcl:, #866857, Valid
Passport 247, eyr:, 2026, Valid
Passport 247, byr:, 1984, Valid
Passport 247, hgt:, 186cm, Valid
Passport 247, ecl:, grn, Valid
Passport 247, pid:, 325370778, Valid
Passport 247, hcl:, #ceb3a1, Valid
Passport 247, iyr:, 2010, Valid
Passport 248, ecl:, brn, Valid
Passport 248, pid:, 156980004, Valid
Passport 248, hcl:, #c0946f, Valid
Passport 248, iyr:, 2013, Valid
Passport 248, eyr:, 2023, Valid
Passport 248, byr:, 1933, Valid
Passport 248, hgt:, 181cm, Valid
Passport 249, ecl:, gmt, Invalid
Passport 250, ecl:, oth, Valid
Passport 250, pid:, 366509171, Valid
Passport 250, eyr:, 2027, Valid
Passport 250, hcl:, #602927, Valid
Passport 250, byr:, 1945, Valid
Passport 250, iyr:, 2018, Valid
Passport 250, hgt:, 192cm, Valid
Passport 251, ecl:, lzr, Invalid
Passport 252, hcl:, #efcc98, Valid
Passport 252, byr:, 1979, Valid
Passport 252, ecl:, oth, Valid
Passport 252, pid:, 095314628, Valid
Passport 252, eyr:, 2020, Valid
Passport 252, iyr:, 2015, Valid
Passport 252, hgt:, 162cm, Valid
Passport 253, byr:, 1998, Valid
Passport 253, pid:, 346442779, Valid
Passport 253, hcl:, #b6652a, Valid
Passport 253, hgt:, 162cm, Valid
Passport 253, ecl:, amb, Valid
Passport 253, eyr:, 2023, Valid
Passport 253, iyr:, 2018, Valid
Passport 254, ecl:, #98c896, Invalid
Passport 255, byr:, 2021, Valid
Passport 255, iyr:, 2023, Invalid
Passport 256, pid:, 159037919, Valid
Passport 256, hgt:, 162cm, Valid
Passport 256, ecl:, amb, Valid
Passport 256, eyr:, 2027, Valid
Passport 256, byr:, 1971, Valid
Passport 256, hcl:, #18171d, Valid
Passport 256, iyr:, 2017, Valid
Passport 257, pid:, 086826874, Valid
Passport 257, iyr:, 2011, Valid
Passport 257, ecl:, gry, Valid
Passport 257, hgt:, 189cm, Valid
Passport 257, hcl:, #888785, Valid
Passport 257, byr:, 1926, Valid
Passport 258, ecl:, brn, Valid
Passport 258, pid:, 919970712, Valid
Passport 258, eyr:, 2022, Valid
Passport 258, hcl:, #733820, Valid
Passport 258, byr:, 1955, Valid
Passport 258, iyr:, 2018, Valid
Passport 258, hgt:, 152cm, Valid
Passport 259, ecl:, #a1843f, Invalid
Passport 260, byr:, 1991, Valid
Passport 260, pid:, 050818633, Valid
Passport 260, eyr:, 2024, Valid
Passport 260, ecl:, gry, Valid
Passport 260, hcl:, #888785, Valid
Passport 260, iyr:, 2018, Valid
Passport 260, hgt:, 176cm, Valid
Passport 261, byr:, 1963, Valid
Passport 261, hgt:, 188cm, Valid
Passport 261, eyr:, 2021, Valid
Passport 261, ecl:, oth, Valid
Passport 261, hcl:, #a97842, Valid
Passport 261, pid:, 030540064, Valid
Passport 261, iyr:, 2010, Valid
Passport 262, ecl:, blu, Valid
Passport 262, pid:, 748078322, Valid
Passport 262, hcl:, #c0946f, Valid
Passport 262, byr:, 1921, Valid
Passport 262, hgt:, 164cm, Valid
Passport 262, eyr:, 2027, Valid
Passport 262, iyr:, 2020, Valid
Passport 263, ecl:, grn, Valid
Passport 263, pid:, 054135231, Valid
Passport 263, eyr:, 2020, Valid
Passport 263, hcl:, 7a942e, Invalid
Passport 264, pid:, 242147946, Valid
Passport 264, eyr:, 1927, Invalid
Passport 265, ecl:, brn, Valid
Passport 265, eyr:, 2021, Valid
Passport 265, hcl:, #efcc98, Valid
Passport 265, pid:, 333644730, Valid
Passport 265, byr:, 1999, Valid
Passport 265, hgt:, 160cm, Valid
Passport 265, iyr:, 2019, Valid
Passport 266, byr:, 1921, Valid
Passport 266, iyr:, 2013, Valid
Passport 266, eyr:, 2027, Valid
Passport 266, hcl:, #a97842, Valid
Passport 266, ecl:, gry, Valid
Passport 266, pid:, 682013109, Valid
Passport 266, hgt:, 157cm, Valid
Passport 267, ecl:, gry, Valid
Passport 267, hcl:, #733820, Valid
Passport 267, byr:, 1945, Valid
Passport 267, hgt:, 174cm, Valid
Passport 267, pid:, 505827627, Valid
Passport 267, eyr:, 2020, Valid
Passport 267, iyr:, 2019, Valid
Passport 268, ecl:, oth, Valid
Passport 268, pid:, 137342936, Valid
Passport 268, eyr:, 2021, Valid
Passport 268, hcl:, #888785, Valid
Passport 268, byr:, 1922, Valid
Passport 268, iyr:, 2015, Valid
Passport 268, hgt:, 162cm, Valid
Passport 269, hcl:, #efcc98, Valid
Passport 269, ecl:, oth, Valid
Passport 269, byr:, 1983, Valid
Passport 269, hgt:, 151cm, Valid
Passport 269, pid:, 289512908, Valid
Passport 269, eyr:, 2030, Valid
Passport 269, iyr:, 2020, Valid
Passport 270, ecl:, grn, Valid
Passport 270, pid:, 057335770, Valid
Passport 270, eyr:, 2022, Valid
Passport 270, hcl:, #602927, Valid
Passport 270, byr:, 1989, Valid
Passport 270, iyr:, 2015, Valid
Passport 270, hgt:, 167cm, Valid
Passport 271, eyr:, 2028, Valid
Passport 271, hcl:, #c0946f, Valid
Passport 271, byr:, 1969, Valid
Passport 271, iyr:, 2013, Valid
Passport 271, hgt:, 184cm, Valid
Passport 271, pid:, 802041641, Valid
Passport 271, ecl:, brn, Valid
Passport 272, pid:, 155cm, Invalid
Passport 273, eyr:, 2020, Valid
Passport 273, iyr:, 2011, Valid
Passport 273, pid:, 934576102, Valid
Passport 273, byr:, 1994, Valid
Passport 273, ecl:, amb, Valid
Passport 273, hcl:, #18171d, Valid
Passport 274, eyr:, 1993, Invalid
Passport 275, iyr:, 2014, Valid
Passport 275, pid:, 866047540, Valid
Passport 275, eyr:, 2030, Valid
Passport 275, hcl:, #733820, Valid
Passport 275, byr:, 1951, Valid
Passport 275, ecl:, amb, Valid
Passport 275, hgt:, 64in, Valid
Passport 276, iyr:, 2015, Valid
Passport 276, byr:, 1962, Valid
Passport 276, ecl:, brn, Valid
Passport 276, hgt:, 69in, Valid
Passport 276, eyr:, 2023, Valid
Passport 276, hcl:, #623a2f, Valid
Passport 276, pid:, 671492881, Valid
Passport 277, ecl:, oth, Valid
Passport 277, pid:, 924256973, Valid
Passport 277, byr:, 1950, Valid
Passport 277, iyr:, 2020, Valid
Passport 277, hgt:, 154cm, Valid
Passport 277, eyr:, 2028, Valid
Passport 277, hcl:, #b6652a, Valid
Passport 278, byr:, 2021, Valid
Passport 278, pid:, 76948864, Invalid
Passport 279, iyr:, 2014, Valid
Passport 279, hgt:, 156cm, Valid
Passport 279, byr:, 1960, Valid
Passport 279, pid:, 720786216, Valid
